time,users 
0,0 
10,0 
20,0 
30,0 
40,0 
50,0 
60,0 
70,0 
80,0 
90,1 
100,0 
110,0 
120,0 
130,0 
140,0 
150,0 
160,0 
170,0 
180,0 
190,0 
200,1 
210,0 
220,1 
230,0 
240,0 
250,1 
260,0 
270,2 
280,0 
290,1 
300,2 
310,1 
320,2 
330,1 
340,2 
350,2 
360,4 
370,4 
380,3 
390,3 
400,1 
410,6 
418,0 
