time,session 
0,67.086 
10,67.086 
20,66.664 
30,66.664 
40,65.747 
50,65.747 
60,65.747 
70,65.747 
80,65.747 
90,65.747 
100,65.747 
110,65.674 
120,65.674 
130,65.674 
140,65.674 
150,65.674 
160,65.226 
170,65.226 
180,65.226 
190,65.226 
200,65.226 
210,65.226 
220,65.226 
230,65.226 
240,65.226 
250,65.226 
260,65.226 
270,65.226 
280,65.226 
290,65.071 
300,65.071 
310,65.071 
320,65.071 
330,65.067 
340,65.067 
350,65.067 
360,65.067 
370,65.067 
380,65.067 
390,65.067 
400,65.067 
410,64.945 
418,64.945 
