time,load@tsung_controller@ip-172-31-37-175 
0,0.03125 
10,0.03125 
20,0.03125 
30,0.03125 
40,0.03125 
50,0.03125 
60,0.03125 
70,0.03125 
80,0.078125 
90,0.140625 
100,0.140625 
110,0.140625 
120,0.140625 
130,0.140625 
140,0.140625 
150,0.140625 
160,0.140625 
170,0.140625 
180,0.140625 
190,0.140625 
200,0.171875 
210,0.171875 
220,0.28125 
230,0.28125 
240,0.28125 
250,0.3203125 
260,0.3203125 
270,0.3203125 
280,0.3203125 
290,0.3203125 
300,0.3203125 
310,0.3203125 
320,0.3203125 
330,0.3203125 
340,0.44140625 
350,0.44140625 
360,0.44140625 
370,0.62890625 
380,1.21875 
390,1.328125 
400,1.328125 
410,1.328125 
418,1.37109375 
