time,freemem@tsung_controller@ip-172-31-37-175 
0,517.4375 
10,519.19140625 
20,522.41796875 
30,522.890625 
40,522.890625 
50,522.890625 
60,522.890625 
70,522.890625 
80,522.890625 
90,522.890625 
100,522.890625 
110,522.890625 
120,522.890625 
130,522.890625 
140,522.890625 
150,522.890625 
160,522.890625 
170,522.890625 
180,522.890625 
190,522.890625 
200,522.890625 
210,522.890625 
220,522.890625 
230,522.890625 
240,522.890625 
250,522.890625 
260,522.890625 
270,522.890625 
280,522.890625 
290,522.890625 
300,522.890625 
310,522.890625 
320,522.890625 
330,522.890625 
340,522.890625 
350,522.890625 
360,522.890625 
370,522.890625 
380,522.890625 
390,522.890625 
400,522.890625 
410,522.890625 
418,522.890625 
