time,session 
0,82.882 
10,82.882 
20,82.882 
30,82.882 
40,82.882 
50,82.882 
60,82.882 
70,83.467 
80,83.467 
90,83.467 
100,83.467 
110,83.467 
120,83.467 
130,83.467 
140,83.467 
150,83.467 
160,83.467 
170,83.467 
180,102.241 
190,102.241 
200,102.241 
210,102.241 
220,102.241 
230,102.241 
240,102.241 
250,102.241 
260,102.241 
270,102.241 
280,102.241 
290,102.241 
300,102.241 
310,102.241 
320,102.241 
330,102.241 
340,102.241 
350,102.241 
360,135.048 
370,135.048 
380,135.048 
390,135.048 
400,135.048 
410,135.048 
418,135.048 
