time,load@tsung_controller@ip-172-31-37-175 
0,0.03125 
10,0.01953125 
20,0.01953125 
30,0.01953125 
40,0.01171875 
50,0.01171875 
60,0.01171875 
70,0.01171875 
80,0.078125 
90,0.140625 
100,0.12109375 
110,0.1015625 
120,0.078125 
130,0.0703125 
140,0.05859375 
150,0.05078125 
160,0.0390625 
170,0.0390625 
180,0.03125 
190,0.01953125 
200,0.171875 
210,0.140625 
220,0.28125 
230,0.23828125 
240,0.19921875 
250,0.3203125 
260,0.26953125 
270,0.23046875 
280,0.19140625 
290,0.16015625 
300,0.140625 
310,0.26171875 
320,0.30078125 
330,0.25 
340,0.44140625 
350,0.37109375 
360,0.30859375 
370,0.62890625 
380,1.21875 
390,1.328125 
400,1.12890625 
410,1.328125 
418,1.37109375 
