time,freemem@tsung_controller@ip-172-31-37-175 
0,517.4375 
10,519.19140625 
20,522.41796875 
30,522.890625 
40,522.296875 
50,522.01171875 
60,522.25 
70,521.69140625 
80,520.484375 
90,519.80859375 
100,520.94140625 
110,520.25390625 
120,520.18359375 
130,519.9921875 
140,518.28125 
150,519.453125 
160,519.3984375 
170,519.109375 
180,519.80859375 
190,519.08984375 
200,519.734375 
210,519.8671875 
220,519.625 
230,520.62890625 
240,519.33984375 
250,519.99609375 
260,519.8046875 
270,519.94921875 
280,518.73828125 
290,519.84765625 
300,520.3359375 
310,519.78125 
320,519.41796875 
330,519.82421875 
340,520.0078125 
350,519.28125 
360,520.19921875 
370,519.609375 
380,519.8828125 
390,520.84375 
400,520.88671875 
410,513.36328125 
418,519.55078125 
