time,freemem@tsung_controller@ip-172-31-37-175 
0,517.4375 
10,517.4375 
20,517.4375 
30,517.4375 
40,517.4375 
50,517.4375 
60,517.4375 
70,517.4375 
80,517.4375 
90,517.4375 
100,517.4375 
110,517.4375 
120,517.4375 
130,517.4375 
140,517.4375 
150,517.4375 
160,517.4375 
170,517.4375 
180,517.4375 
190,517.4375 
200,517.4375 
210,517.4375 
220,517.4375 
230,517.4375 
240,517.4375 
250,517.4375 
260,517.4375 
270,517.4375 
280,517.4375 
290,517.4375 
300,517.4375 
310,517.4375 
320,517.4375 
330,517.4375 
340,517.4375 
350,517.4375 
360,517.4375 
370,517.4375 
380,517.4375 
390,517.4375 
400,517.4375 
410,513.36328125 
418,513.36328125 
