time,users_count,finish_users_count 
0,8,8 
10,16,16 
20,22,22 
30,28,28 
40,36,36 
50,44,44 
60,59,59 
70,74,74 
80,92,92 
90,107,106 
100,129,129 
110,153,153 
120,183,183 
130,221,221 
140,271,271 
150,315,315 
160,350,350 
170,396,396 
180,459,459 
190,536,536 
200,614,613 
210,692,692 
220,756,755 
230,843,843 
240,976,976 
250,1152,1151 
260,1295,1295 
270,1466,1464 
280,1626,1626 
290,1798,1797 
300,2039,2037 
310,2358,2357 
320,2702,2700 
330,2993,2992 
340,3308,3306 
350,3598,3596 
360,4172,4168 
370,4827,4823 
380,5415,5412 
390,6045,6042 
400,6670,6669 
410,7339,7333 
418,7491,7491 
